ts,elapsed_s,cpu_pct,cpu_norm_pct,rss_mb,threads
08:52:54,0.00,81.30,8.13,220.20,10
08:52:55,1.01,86.20,8.62,412.70,19
08:52:56,2.02,34.10,3.41,453.97,20
08:52:57,3.03,24.10,2.41,455.61,20
08:52:58,4.04,24.70,2.47,455.70,20
08:52:59,5.00,26.10,2.61,455.77,20
08:53:00,6.02,25.10,2.51,455.80,20
08:53:01,7.05,23.30,2.33,455.84,20
08:53:02,8.00,25.30,2.53,455.95,20
08:53:03,9.02,25.00,2.50,456.02,20
08:53:04,10.00,24.20,2.42,456.14,19
08:53:05,11.03,25.50,2.55,456.17,19
08:53:06,12.02,25.00,2.50,456.19,19
08:53:07,13.02,24.40,2.44,456.19,19
08:53:08,14.03,23.20,2.32,456.19,19
08:53:09,15.00,22.80,2.28,456.19,19
08:53:10,16.01,22.30,2.23,456.20,19
08:53:11,17.02,21.70,2.17,456.19,19
08:53:12,18.03,22.20,2.22,456.19,19
08:53:13,19.04,22.50,2.25,456.22,19
08:53:14,20.05,24.50,2.45,456.25,19
08:53:15,21.00,26.40,2.64,456.25,19
08:53:16,22.02,26.30,2.63,456.25,19
08:53:17,23.04,24.90,2.49,456.27,19
08:53:18,24.05,24.10,2.41,456.28,19
08:53:19,25.02,23.90,2.39,456.31,19
08:53:20,26.05,23.90,2.39,456.31,19
08:53:21,27.01,20.80,2.08,456.30,19
08:53:22,28.03,21.00,2.10,456.33,19
08:53:23,29.04,22.10,2.21,456.31,19
08:53:24,30.01,23.00,2.30,456.33,19
08:53:25,31.02,23.10,2.31,402.89,19
08:53:26,32.04,22.70,2.27,402.89,18
08:53:27,33.00,22.60,2.26,402.81,14
08:53:28,34.01,23.10,2.31,402.83,14
08:53:29,35.02,21.60,2.16,402.86,14
08:53:30,36.03,5.00,0.50,403.19,14
08:53:31,37.05,12.10,1.21,403.23,14
08:53:32,38.01,12.00,1.20,403.30,14
08:53:33,39.02,14.10,1.41,403.39,14
08:53:34,40.04,0.80,0.08,403.39,14
08:53:35,41.04,1.20,0.12,403.42,14
08:53:36,42.05,7.20,0.72,404.30,14
08:53:37,43.01,22.90,2.29,405.94,19
08:53:38,44.03,21.50,2.15,406.06,19
08:53:39,45.04,19.20,1.92,406.12,19
08:53:40,46.05,25.20,2.52,406.11,19
08:53:41,47.01,10.50,1.05,406.14,19
08:53:42,48.01,10.70,1.07,406.25,19
08:53:43,49.02,20.30,2.03,406.81,19
08:53:44,50.02,20.30,2.03,406.25,19
08:53:45,51.03,19.50,1.95,406.28,19
08:53:46,52.03,17.80,1.78,406.28,19
08:53:47,53.03,16.70,1.67,406.30,19
08:53:48,54.04,16.20,1.62,406.28,19
08:53:49,55.05,20.20,2.02,406.86,19
08:53:50,56.02,25.00,2.50,406.28,19
08:53:51,57.04,16.00,1.60,406.30,19
08:53:52,58.04,25.30,2.53,406.31,19
08:53:53,59.05,22.70,2.27,406.30,19
