ts,elapsed_s,cpu_pct,cpu_norm_pct,rss_mb,threads
08:57:21,0.00,88.80,8.88,245.58,15
08:57:22,1.01,71.40,7.14,452.77,19
08:57:23,2.01,22.20,2.22,454.81,18
08:57:24,3.04,23.70,2.37,457.11,19
08:57:25,4.00,19.90,1.99,457.27,19
08:57:26,5.01,22.30,2.23,461.53,19
08:57:27,6.02,21.70,2.17,462.42,19
08:57:28,7.03,21.60,2.16,464.55,19
08:57:29,8.04,20.60,2.06,464.70,20
08:57:30,9.01,18.00,1.80,465.55,20
08:57:31,10.02,21.00,2.10,465.88,20
08:57:32,11.04,25.30,2.53,466.39,20
08:57:33,12.04,24.80,2.48,412.67,21
08:57:34,13.01,26.90,2.69,422.66,24
08:57:35,14.02,23.30,2.33,422.67,24
08:57:36,15.05,20.60,2.06,422.73,24
08:57:37,16.03,21.50,2.15,422.97,24
08:57:38,17.04,20.30,2.03,424.25,24
08:57:39,18.00,22.50,2.25,425.27,23
08:57:40,19.00,16.30,1.63,425.03,23
08:57:41,20.02,18.90,1.89,425.36,23
08:57:42,21.04,20.00,2.00,425.86,23
08:57:43,22.04,19.80,1.98,425.88,23
08:57:44,23.04,18.40,1.84,425.88,23
08:57:45,24.04,18.60,1.86,425.89,23
08:57:46,25.04,20.70,2.07,425.88,23
08:57:47,26.00,17.10,1.71,425.88,23
08:57:48,27.01,16.70,1.67,425.81,22
08:57:49,28.01,18.40,1.84,364.11,22
08:57:50,29.01,20.10,2.01,364.39,22
08:57:51,30.01,19.80,1.98,364.42,22
08:57:52,31.02,16.20,1.62,364.67,22
08:57:53,32.02,9.10,0.91,370.64,21
08:57:54,33.04,22.20,2.22,365.30,21
08:57:55,34.01,15.80,1.58,364.75,21
08:57:56,35.02,20.90,2.09,364.77,21
08:57:57,36.03,22.50,2.25,364.77,21
08:57:58,37.04,20.10,2.01,364.86,21
08:57:59,38.05,19.40,1.94,365.25,21
08:58:00,39.01,23.90,2.39,339.20,21
08:58:01,40.02,18.20,1.82,339.25,22
08:58:02,41.03,18.70,1.87,339.25,22
08:58:03,42.03,18.80,1.88,339.28,22
08:58:04,43.03,22.10,2.21,345.27,22
08:58:05,44.04,18.60,1.86,339.28,22
08:58:06,45.01,20.00,2.00,339.31,22
08:58:07,46.03,22.10,2.21,339.31,22
08:58:08,47.04,20.50,2.05,339.31,22
08:58:09,48.01,26.20,2.62,345.36,22
08:58:10,49.02,18.40,1.84,339.39,22
08:58:11,50.03,22.10,2.21,339.39,22
08:58:12,51.04,23.00,2.30,339.38,22
08:58:13,52.05,20.30,2.03,339.38,22
08:58:14,53.01,26.40,2.64,339.38,22
08:58:15,54.03,22.80,2.28,345.38,22
08:58:16,55.03,22.20,2.22,339.38,22
08:58:17,56.04,24.10,2.41,339.39,22
08:58:18,57.04,17.00,1.70,339.41,22
08:58:19,58.02,18.00,1.80,339.38,22
08:58:20,59.02,24.70,2.47,339.38,22
08:58:21,60.04,30.10,3.01,345.55,22
08:58:22,61.05,22.30,2.23,339.55,22
08:58:23,62.01,23.50,2.35,339.55,22
08:58:24,63.02,22.90,2.29,339.55,22
08:58:25,64.02,21.20,2.12,339.55,22
08:58:26,65.03,19.10,1.91,339.56,22
08:58:27,66.03,6.50,0.65,345.55,22
08:58:28,67.05,20.50,2.05,339.56,22
08:58:29,68.00,17.00,1.70,339.55,22
08:58:30,69.03,19.70,1.97,339.56,22
08:58:31,70.04,24.50,2.45,339.55,22
08:58:32,71.05,22.60,2.26,339.56,22
08:58:33,72.00,19.70,1.97,339.56,22
08:58:34,73.02,15.50,1.55,339.56,22
08:58:35,74.04,15.80,1.58,339.56,22
08:58:36,75.05,14.80,1.48,270.03,22
08:58:37,76.01,12.60,1.26,270.05,22
08:58:38,77.02,13.70,1.37,270.02,22
08:58:39,78.03,8.10,0.81,270.02,22
08:58:40,79.06,19.20,1.92,260.45,22
08:58:41,80.02,14.30,1.43,260.45,22
08:58:42,81.01,23.20,2.32,260.36,22
08:58:43,82.02,25.30,2.53,260.38,22
08:58:44,83.02,23.60,2.36,260.36,22
08:58:45,84.03,22.80,2.28,260.38,22
08:58:46,85.05,23.50,2.35,260.38,22
08:58:47,86.01,23.60,2.36,260.36,22
08:58:48,87.03,20.40,2.04,260.36,22
08:58:49,88.04,25.70,2.57,260.36,22
08:58:50,89.05,26.80,2.68,260.36,22
08:58:51,90.01,26.50,2.65,260.36,22
08:58:52,91.01,25.70,2.57,260.36,22
08:58:53,92.02,27.40,2.74,260.36,22
08:58:54,93.04,27.50,2.75,260.38,22
08:58:55,94.04,28.70,2.87,260.36,22
08:58:56,95.04,27.50,2.75,260.36,22
08:58:57,96.01,27.30,2.73,260.38,22
08:58:58,97.02,24.20,2.42,260.39,22
08:58:59,98.02,27.10,2.71,260.39,22
08:59:00,99.01,29.60,2.96,260.45,22
08:59:01,100.03,20.50,2.05,260.47,22
08:59:02,101.04,10.00,1.00,260.48,22
08:59:03,102.05,9.70,0.97,260.47,22
08:59:04,103.01,29.60,2.96,266.45,22
08:59:05,104.02,13.70,1.37,260.45,22
08:59:06,105.03,10.40,1.04,260.42,21
08:59:07,106.04,13.70,1.37,260.42,21
08:59:08,107.01,19.60,1.96,260.41,21
08:59:09,108.00,8.30,0.83,260.41,21
08:59:10,109.01,14.10,1.41,260.41,21
08:59:11,110.01,26.80,2.68,260.41,21
08:59:12,111.03,25.00,2.50,260.42,21
08:59:13,112.04,25.60,2.56,260.41,21
08:59:14,113.04,26.20,2.62,260.41,21
08:59:15,114.04,21.20,2.12,260.41,21
08:59:16,115.04,22.00,2.20,260.41,21
08:59:17,116.05,20.70,2.07,260.42,21
08:59:18,117.00,21.50,2.15,260.41,21
08:59:19,118.01,23.30,2.33,260.41,21
08:59:20,119.02,24.30,2.43,260.41,21
08:59:21,120.03,23.10,2.31,260.42,21
08:59:22,121.05,25.50,2.55,260.42,21
08:59:23,122.00,26.40,2.64,260.42,21
08:59:24,123.02,24.40,2.44,260.41,21
08:59:25,124.03,21.70,2.17,260.42,21
08:59:26,125.04,22.60,2.26,260.41,21
08:59:27,126.04,22.00,2.20,260.41,21
08:59:28,127.01,20.80,2.08,260.41,21
08:59:29,128.03,21.50,2.15,260.41,21
08:59:30,129.03,20.40,2.04,260.42,21
08:59:31,130.05,21.30,2.13,260.41,21
08:59:32,131.01,21.80,2.18,260.41,21
08:59:33,132.02,20.70,2.07,260.41,21
08:59:34,133.04,22.90,2.29,260.41,21
08:59:35,134.05,22.90,2.29,260.34,16
08:59:36,135.01,24.40,2.44,260.33,16
08:59:37,136.02,24.50,2.45,260.33,16
08:59:38,137.04,24.50,2.45,260.33,16
08:59:39,138.01,22.40,2.24,260.33,16
08:59:40,139.02,21.50,2.15,260.34,16
08:59:41,140.02,20.90,2.09,260.33,16
08:59:42,141.04,20.40,2.04,260.33,16
08:59:43,142.04,20.80,2.08,260.33,16
08:59:44,143.04,21.90,2.19,260.34,16
08:59:45,144.00,22.00,2.20,260.33,16
08:59:46,145.02,22.60,2.26,260.33,16
08:59:47,146.03,19.70,1.97,260.34,16
08:59:48,147.05,19.60,1.96,260.33,16
08:59:49,148.00,20.50,2.05,260.34,16
08:59:50,149.02,21.60,2.16,260.33,16
08:59:51,150.04,21.30,2.13,260.33,16
08:59:52,151.04,20.70,2.07,260.33,16
08:59:53,152.04,20.70,2.07,260.33,16
08:59:54,153.05,22.90,2.29,260.34,16
08:59:55,154.00,21.90,2.19,260.33,16
08:59:56,155.01,21.90,2.19,260.34,16
08:59:57,156.03,7.90,0.79,260.23,16
08:59:58,157.05,19.50,1.95,260.22,16
08:59:59,158.00,19.90,1.99,260.20,16
09:00:00,159.01,20.30,2.03,260.22,16
09:00:01,160.03,24.50,2.45,266.28,21
09:00:02,161.03,11.20,1.12,260.84,21
09:00:03,162.04,21.20,2.12,260.28,21
09:00:04,163.04,18.30,1.83,260.28,21
09:00:05,164.05,19.10,1.91,260.28,21
09:00:06,165.00,21.90,2.19,260.28,21
09:00:07,166.01,21.30,2.13,260.28,21
09:00:08,167.02,22.40,2.24,260.28,21
09:00:09,168.03,23.40,2.34,260.28,21
09:00:10,169.03,27.10,2.71,260.28,21
09:00:11,170.00,29.30,2.93,260.28,21
09:00:12,171.03,31.30,3.13,260.28,21
09:00:13,172.04,25.80,2.58,260.30,21
09:00:14,173.00,16.30,1.63,260.28,21
09:00:15,174.01,10.50,1.05,260.67,21
09:00:16,175.02,20.50,2.05,260.16,21
09:00:17,176.03,18.40,1.84,260.16,21
09:00:18,177.04,16.60,1.66,260.17,21
09:00:19,178.00,14.10,1.41,260.14,21
09:00:20,179.01,18.60,1.86,260.14,21
09:00:21,180.03,22.70,2.27,260.14,21
09:00:22,181.04,23.80,2.38,260.14,21
09:00:23,182.00,23.60,2.36,260.14,21
09:00:24,183.01,22.00,2.20,260.14,21
09:00:25,184.02,21.00,2.10,260.14,21
09:00:26,185.04,25.10,2.51,260.14,21
09:00:27,186.01,25.20,2.52,260.14,21
09:00:28,187.02,25.20,2.52,260.16,21
09:00:29,188.02,22.00,2.20,260.14,21
09:00:30,189.02,17.60,1.76,260.14,21
09:00:31,190.04,22.60,2.26,260.16,21
09:00:32,191.01,19.30,1.93,260.14,21
09:00:33,192.02,24.80,2.48,266.14,21
09:00:34,193.03,11.10,1.11,260.14,21
09:00:35,194.04,23.80,2.38,260.16,21
09:00:36,195.05,16.40,1.64,260.14,21
09:00:37,196.01,22.10,2.21,260.14,21
09:00:38,197.01,21.00,2.10,260.14,21
09:00:39,198.01,21.50,2.15,260.16,21
09:00:40,199.03,21.70,2.17,260.16,21
09:00:41,200.00,16.80,1.68,260.16,21
09:00:42,201.01,17.10,1.71,260.14,21
09:00:43,202.04,21.50,2.15,260.14,21
09:00:44,203.04,21.90,2.19,260.14,21
09:00:45,204.00,21.70,2.17,260.16,21
09:00:46,205.01,21.20,2.12,260.14,21
09:00:47,206.03,22.30,2.23,260.16,21
09:00:48,207.04,21.30,2.13,260.14,21
09:00:49,208.01,21.20,2.12,260.14,21
09:00:50,209.00,21.50,2.15,260.14,21
09:00:51,210.03,22.60,2.26,260.16,21
09:00:52,211.04,20.90,2.09,260.14,21
09:00:53,212.05,24.40,2.44,260.14,21
09:00:54,213.02,22.20,2.22,260.16,21
09:00:55,214.03,24.50,2.45,260.16,21
09:00:56,215.03,24.30,2.43,260.14,21
09:00:57,216.03,22.00,2.20,260.16,21
09:00:58,217.04,22.40,2.24,260.14,21
09:00:59,218.05,21.50,2.15,260.16,21
09:01:00,219.01,21.70,2.17,260.14,21
09:01:01,220.01,21.80,2.18,260.16,21
09:01:02,221.03,22.10,2.21,260.16,21
09:01:03,222.05,21.70,2.17,260.16,21
09:01:04,223.00,21.60,2.16,260.14,21
09:01:05,224.05,22.00,2.20,260.08,16
09:01:06,225.02,21.90,2.19,260.08,16
09:01:07,226.03,21.90,2.19,260.08,16
09:01:08,227.03,21.30,2.13,260.08,16
09:01:09,228.04,21.90,2.19,260.08,16
09:01:10,229.05,20.30,2.03,260.08,16
09:01:11,230.04,20.60,2.06,260.06,16
09:01:12,231.01,21.30,2.13,260.06,16
09:01:13,232.02,20.80,2.08,260.06,16
09:01:14,233.04,21.60,2.16,260.06,16
09:01:15,234.00,24.40,2.44,260.06,16
09:01:16,235.01,22.70,2.27,260.06,16
09:01:17,236.02,23.70,2.37,260.06,16
09:01:18,237.03,24.30,2.43,260.08,16
09:01:19,238.03,22.70,2.27,260.08,16
09:01:20,239.05,22.20,2.22,260.08,16
09:01:21,240.01,21.90,2.19,260.08,16
09:01:22,241.01,23.30,2.33,260.08,16
09:01:23,242.02,22.70,2.27,260.06,16
09:01:24,243.03,21.40,2.14,260.08,16
09:01:25,244.03,21.20,2.12,260.06,16
09:01:26,245.02,22.50,2.25,260.06,16
09:01:27,246.02,22.20,2.22,260.06,16
09:01:28,247.05,23.60,2.36,260.06,16
09:01:29,248.01,23.50,2.35,260.08,16
09:01:30,249.03,25.30,2.53,260.08,16
09:01:31,250.04,25.30,2.53,260.06,16
09:01:32,251.01,24.20,2.42,260.08,16
09:01:33,252.03,24.20,2.42,260.08,16
09:01:34,253.04,21.00,2.10,260.06,16
09:01:35,254.00,22.50,2.25,260.06,16
09:01:36,255.01,26.30,2.63,260.08,16
09:01:37,256.01,24.80,2.48,260.08,16
09:01:38,257.02,23.00,2.30,260.06,16
09:01:39,258.04,24.10,2.41,260.06,16
09:01:40,259.05,22.40,2.24,260.08,16
09:01:41,260.00,24.20,2.42,260.06,16
09:01:42,261.02,25.80,2.58,260.08,16
09:01:43,262.02,21.80,2.18,260.06,16
09:01:44,263.00,25.80,2.58,260.06,16
09:01:45,264.02,23.50,2.35,260.08,16
09:01:46,265.02,26.20,2.62,260.06,16
09:01:47,266.02,22.20,2.22,260.06,16
09:01:48,267.02,23.40,2.34,260.08,16
09:01:49,268.05,23.00,2.30,260.08,16
09:01:50,269.00,22.50,2.25,260.06,16
09:01:51,270.00,22.90,2.29,260.08,16
09:01:52,271.02,23.50,2.35,260.08,16
09:01:53,272.03,26.00,2.60,260.08,16
09:01:54,273.03,20.00,2.00,260.08,16
09:01:55,274.03,21.40,2.14,260.08,16
09:01:56,275.04,24.20,2.42,260.06,16
09:01:57,276.05,26.00,2.60,260.08,16
09:01:58,277.01,28.60,2.86,260.06,16
09:01:59,278.01,29.40,2.94,260.06,16
09:02:00,279.01,29.40,2.94,260.06,16
09:02:01,280.02,28.30,2.83,260.06,16
09:02:02,281.04,28.50,2.85,260.06,16
09:02:03,282.00,29.10,2.91,260.06,16
09:02:04,283.03,27.30,2.73,260.08,16
09:02:05,284.04,22.20,2.22,260.06,16
09:02:06,285.05,27.70,2.77,260.06,16
09:02:07,286.01,26.90,2.69,260.06,16
09:02:08,287.01,24.30,2.43,260.08,16
09:02:09,288.02,25.30,2.53,260.06,16
09:02:10,289.04,26.60,2.66,260.06,16
09:02:11,290.00,25.20,2.52,260.08,16
09:02:12,291.02,22.80,2.28,260.06,16
09:02:13,292.02,23.10,2.31,260.08,16
09:02:14,293.03,26.10,2.61,260.06,16
