ts,elapsed_s,cpu_pct,cpu_norm_pct,rss_mb,threads
10:07:47,0.00,74.30,7.43,135.06,6
10:07:48,1.03,63.50,6.35,260.39,16
10:07:49,2.04,22.90,2.29,262.41,16
10:07:50,3.05,24.00,2.40,262.48,16
10:07:51,4.00,24.10,2.41,262.55,16
10:07:52,5.05,26.70,2.67,262.59,16
10:07:53,6.01,26.50,2.65,262.64,15
10:07:54,7.03,25.90,2.59,262.69,15
10:07:55,8.04,26.40,2.64,262.77,15
10:07:56,9.01,24.90,2.49,262.80,15
10:07:57,10.03,24.50,2.45,262.89,15
10:07:58,11.05,24.80,2.48,262.94,15
10:07:59,12.02,23.60,2.36,262.92,15
10:08:00,13.03,24.90,2.49,262.94,15
10:08:01,14.04,26.20,2.62,262.95,15
10:08:02,15.01,25.80,2.58,262.97,15
10:08:03,16.02,25.50,2.55,262.98,15
10:08:04,17.02,23.60,2.36,262.98,15
10:08:05,18.03,23.90,2.39,263.00,15
10:08:06,19.05,25.30,2.53,263.02,15
10:08:07,20.02,24.80,2.48,263.05,15
10:08:08,21.03,22.30,2.23,263.16,15
10:08:09,22.05,26.00,2.60,263.19,15
10:08:10,23.01,18.20,1.82,178.55,15
10:08:11,24.00,26.20,2.62,178.83,15
10:08:12,25.01,27.90,2.79,178.91,15
10:08:13,26.02,25.90,2.59,179.02,15
10:08:14,27.03,27.90,2.79,179.23,15
10:08:15,28.04,27.90,2.79,179.25,15
10:08:16,29.00,29.80,2.98,179.27,15
10:08:17,30.01,29.00,2.90,192.11,15
10:08:18,31.03,24.90,2.49,198.75,14
10:08:19,32.04,24.40,2.44,198.72,10
10:08:20,33.01,25.20,2.52,198.75,10
10:08:21,34.02,24.50,2.45,198.77,10
10:08:22,35.02,24.10,2.41,198.75,10
10:08:23,36.04,23.60,2.36,198.77,10
10:08:24,37.02,24.40,2.44,198.77,10
10:08:25,38.04,23.90,2.39,198.75,10
10:08:26,39.01,25.70,2.57,198.73,9
10:08:27,40.02,26.60,2.66,198.77,9
10:08:28,41.04,27.10,2.71,198.78,9
10:08:29,42.01,27.80,2.78,198.77,9
10:08:30,43.02,24.30,2.43,198.77,9
10:08:31,44.04,26.40,2.64,198.78,9
10:08:32,45.04,26.00,2.60,198.77,9
10:08:33,46.05,26.10,2.61,198.77,9
10:08:34,47.01,26.20,2.62,198.73,8
10:08:35,48.05,29.00,2.90,198.80,9
10:08:36,49.05,25.10,2.51,198.80,9
10:08:37,50.01,26.40,2.64,198.78,9
10:08:38,51.02,25.00,2.50,198.78,9
10:08:39,52.04,25.30,2.53,198.78,9
10:08:40,53.05,22.80,2.28,198.81,9
10:08:41,54.05,25.30,2.53,198.81,9
10:08:42,55.01,25.60,2.56,198.80,9
10:08:43,56.02,25.00,2.50,198.80,9
10:08:44,57.03,24.90,2.49,198.77,8
10:08:45,58.04,24.70,2.47,198.77,8
10:08:46,59.05,27.30,2.73,198.77,9
10:08:47,60.01,26.50,2.65,198.81,10
10:08:48,61.02,27.70,2.77,198.81,10
10:08:49,62.04,26.30,2.63,198.81,10
10:08:50,63.05,25.00,2.50,198.86,10
10:08:51,64.05,28.30,2.83,198.88,10
10:08:52,65.01,29.00,2.90,198.88,10
10:08:53,66.02,29.50,2.95,198.88,10
10:08:54,67.04,28.60,2.86,198.92,10
10:08:55,68.05,26.70,2.67,198.92,10
10:08:56,69.01,23.40,2.34,198.91,10
10:08:57,70.03,24.80,2.48,198.91,10
10:08:58,71.05,24.50,2.45,198.91,10
10:08:59,72.02,23.60,2.36,198.92,10
10:09:00,73.03,24.00,2.40,198.92,10
10:09:01,74.05,27.90,2.79,198.92,10
10:09:02,75.01,26.70,2.67,198.91,10
10:09:03,76.04,28.20,2.82,198.92,10
10:09:04,77.04,27.30,2.73,198.91,10
10:09:05,78.01,28.10,2.81,198.91,10
10:09:06,79.02,30.60,3.06,198.91,10
10:09:07,80.03,29.80,2.98,198.91,10
10:09:08,81.05,29.30,2.93,198.92,10
10:09:09,82.01,28.60,2.86,198.91,10
10:09:10,83.02,26.80,2.68,198.91,10
10:09:11,84.04,28.00,2.80,198.91,10
10:09:12,85.00,27.90,2.79,198.92,10
10:09:13,86.03,28.10,2.81,198.91,10
10:09:14,87.04,27.50,2.75,198.91,10
10:09:15,88.01,28.10,2.81,198.91,10
10:09:16,89.03,27.70,2.77,198.91,10
10:09:17,90.03,27.60,2.76,198.91,10
10:09:18,91.05,29.10,2.91,198.91,10
10:09:19,92.05,30.60,3.06,198.92,10
10:09:20,93.00,28.70,2.87,198.92,10
10:09:21,94.01,27.70,2.77,198.91,10
10:09:22,95.02,30.80,3.08,198.91,10
10:09:23,96.04,29.50,2.95,198.91,10
10:09:24,97.04,29.20,2.92,198.91,10
10:09:25,98.05,29.00,2.90,198.91,10
10:09:26,99.01,28.90,2.89,198.91,10
10:09:27,100.03,29.60,2.96,198.92,10
10:09:28,101.01,27.80,2.78,198.91,10
10:09:29,102.00,28.40,2.84,198.92,10
10:09:30,103.01,28.60,2.86,198.91,10
10:09:31,104.03,27.50,2.75,198.91,10
10:09:32,105.05,30.10,3.01,198.92,10
10:09:33,106.02,30.30,3.03,198.91,10
10:09:34,107.02,30.20,3.02,198.91,10
10:09:35,108.04,31.00,3.10,198.92,10
10:09:36,109.01,29.20,2.92,198.91,10
10:09:37,110.03,29.60,2.96,198.92,10
10:09:38,111.05,30.40,3.04,198.92,10
10:09:39,112.01,29.80,2.98,198.91,10
10:09:40,113.03,30.00,3.00,198.91,10
10:09:41,114.03,26.10,2.61,198.92,10
10:09:42,115.03,26.90,2.69,198.91,10
10:09:43,116.04,28.30,2.83,198.91,10
10:09:44,117.01,25.10,2.51,198.91,10
10:09:45,118.04,9.20,0.92,198.94,10
10:09:46,119.01,15.70,1.57,198.91,10
10:09:47,120.01,21.80,2.18,198.89,10
10:09:48,121.03,24.60,2.46,198.91,10
10:09:49,122.05,25.00,2.50,198.92,10
10:09:50,123.02,23.90,2.39,198.92,10
10:09:51,124.03,24.30,2.43,198.92,10
10:09:52,125.03,29.30,2.93,198.92,10
10:09:53,126.03,28.30,2.83,198.92,10
10:09:54,127.04,24.00,2.40,198.92,10
10:09:55,128.00,23.70,2.37,198.92,10
10:09:56,129.02,26.10,2.61,198.91,10
10:09:57,130.04,28.50,2.85,198.92,10
10:09:58,131.04,28.60,2.86,198.92,10
10:09:59,132.05,26.20,2.62,198.92,10
10:10:00,133.01,24.80,2.48,198.91,10
10:10:01,134.03,25.70,2.57,198.92,10
10:10:02,135.01,28.20,2.82,198.91,10
10:10:03,136.02,27.70,2.77,198.92,10
10:10:04,137.04,22.70,2.27,198.91,10
10:10:05,138.01,24.40,2.44,198.91,10
10:10:06,139.03,24.20,2.42,198.92,10
10:10:07,140.05,24.20,2.42,198.92,10
10:10:08,141.01,25.40,2.54,198.91,10
10:10:09,142.03,24.40,2.44,198.91,10
10:10:10,143.04,25.80,2.58,198.92,10
10:10:11,144.00,25.40,2.54,198.92,10
10:10:12,145.05,24.10,2.41,198.92,10
10:10:13,146.01,24.40,2.44,198.92,10
10:10:14,147.03,23.70,2.37,198.91,10
10:10:15,148.03,26.00,2.60,198.92,10
10:10:16,149.04,26.40,2.64,198.91,10
10:10:17,150.04,25.80,2.58,198.91,10
10:10:18,151.01,25.70,2.57,198.91,10
10:10:19,152.03,25.00,2.50,198.92,10
10:10:20,153.04,26.70,2.67,198.91,10
10:10:21,154.01,22.90,2.29,198.91,10
10:10:22,155.02,22.10,2.21,198.92,10
10:10:23,156.03,23.70,2.37,198.91,10
10:10:24,157.04,22.20,2.22,198.92,10
10:10:25,158.00,22.40,2.24,198.92,10
10:10:26,159.01,23.20,2.32,208.70,15
10:10:27,160.02,21.50,2.15,214.89,15
10:10:28,161.03,24.80,2.48,214.89,15
10:10:29,162.04,26.40,2.64,214.91,15
10:10:30,163.05,26.40,2.64,214.91,15
10:10:31,164.02,25.70,2.57,214.91,15
10:10:32,165.03,26.30,2.63,214.91,15
10:10:33,166.00,23.50,2.35,214.91,15
10:10:34,167.03,22.60,2.26,214.89,15
10:10:35,168.03,23.90,2.39,214.91,15
10:10:36,169.05,24.00,2.40,214.91,15
10:10:37,170.02,22.30,2.23,214.89,15
10:10:38,171.03,25.20,2.52,214.89,15
10:10:39,172.05,25.60,2.56,214.91,15
10:10:40,173.02,26.00,2.60,214.89,15
10:10:41,174.03,24.90,2.49,214.89,15
10:10:42,175.05,22.60,2.26,214.91,15
10:10:43,176.02,22.10,2.21,214.91,15
10:10:44,177.03,23.60,2.36,214.89,15
10:10:45,178.05,22.90,2.29,214.91,15
10:10:46,179.01,22.20,2.22,214.91,15
10:10:47,180.03,22.00,2.20,214.92,15
10:10:48,181.05,24.10,2.41,214.92,15
10:10:49,182.02,22.70,2.27,214.91,15
10:10:50,183.04,24.90,2.49,214.92,15
10:10:51,184.01,25.50,2.55,214.91,15
10:10:52,185.03,25.10,2.51,214.91,15
10:10:53,186.04,25.70,2.57,214.91,15
10:10:54,187.00,25.80,2.58,214.95,15
10:10:55,188.01,22.90,2.29,214.94,15
10:10:56,189.03,23.60,2.36,214.94,15
10:10:57,190.06,23.10,2.31,214.86,10
10:10:58,191.01,24.40,2.44,214.86,10
10:10:59,192.02,21.60,2.16,214.86,10
